City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Skibbereen,IE,2022-02-23 17:43:11,51.55,-9.2667,49.1,79,50,25.48
125,Berlevag,NO,2022-02-23 17:43:12,70.8578,29.0864,15.8,73,0,12.66
126,Ilinskiy,RU,2022-02-23 17:43:12,55.619,38.1182,33.51,67,75,8.99
127,Pecos,US,2022-02-23 17:43:13,31.4229,-103.4932,30.29,40,98,8.05
128,San Rafael,AR,2022-02-23 17:41:16,-34.6177,-68.3301,62.31,87,100,1.68
129,Fort Nelson,CA,2022-02-23 17:39:32,58.8053,-122.7002,4.59,85,75,2.3
130,Opochka,RU,2022-02-23 17:43:14,56.7105,28.6617,23.99,96,100,2.53
131,Ahipara,NZ,2022-02-23 17:43:14,-35.1667,173.1667,66.29,83,37,7.38
132,Aswan,EG,2022-02-23 17:43:15,24.0934,32.907,79.9,15,0,8.05
133,Garmsar,IR,2022-02-23 17:43:15,35.2182,52.3409,56.1,47,7,0.02
134,Nabire,ID,2022-02-23 17:43:16,-3.3667,135.4833,74.34,92,100,3.33
135,Sola,VU,2022-02-23 17:43:17,-13.8833,167.55,81.36,78,34,9.93
136,Sao Filipe,CV,2022-02-23 17:43:17,14.8961,-24.4956,70.3,75,11,13.35
137,Pitsunda,GE,2022-02-23 17:43:18,43.1592,40.3378,51.98,64,46,6.85
138,Pevek,RU,2022-02-23 17:43:18,69.7008,170.3133,-38.87,98,66,3.49
139,Carutapera,BR,2022-02-23 17:43:19,-1.195,-46.02,82.89,78,32,9.86
140,Nikolskoye,RU,2022-02-23 17:43:19,59.7035,30.7861,26.49,98,93,2.91
141,Ekpoma,NG,2022-02-23 17:43:20,6.7421,6.139,87.62,23,44,3.27
142,Trincomalee,LK,2022-02-23 17:43:20,8.5711,81.2335,81.23,73,20,15.39
143,Progreso,MX,2022-02-23 17:43:21,21.2833,-89.6667,87.12,59,5,12.06
144,Grindavik,IS,2022-02-23 17:43:21,63.8424,-22.4338,31.95,69,75,18.41
145,Perivolion,GR,2022-02-23 17:43:22,39.4206,20.0147,56.66,66,0,6.85
146,Vestmannaeyjar,IS,2022-02-23 17:43:23,63.4427,-20.2734,31.19,69,20,9.22
147,Saskylakh,RU,2022-02-23 17:43:23,71.9167,114.0833,8.15,90,96,12.08
148,Mae Hong Son,TH,2022-02-23 17:43:24,19.3003,97.9685,63.5,42,2,2.15
149,Margate,GB,2022-02-23 17:43:24,51.3813,1.3862,48.96,71,87,8.99
150,Bonthe,SL,2022-02-23 17:43:24,7.5264,-12.505,82.31,74,44,10.92
151,Kampene,CD,2022-02-23 17:43:25,-3.6,26.6667,70.03,92,99,2.13
152,Abu Dhabi,AE,2022-02-23 17:43:25,24.4667,54.3667,69.91,81,1,5.75
153,Vardo,NO,2022-02-23 17:43:26,70.3705,31.1107,15.78,92,75,23.02
154,Codrington,AU,2022-02-23 17:43:26,-38.2667,141.9667,61.0,91,40,9.48
155,Walvis Bay,NA,2022-02-23 17:43:27,-22.9575,14.5053,79.75,47,23,14.97
156,Hambantota,LK,2022-02-23 17:43:27,6.1241,81.1185,77.11,86,20,11.92
157,Bengkulu,ID,2022-02-23 17:43:28,-3.8004,102.2655,75.74,90,97,4.5
