City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
98,Sompeta,IN,75.29,few clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
99,Oriximina,BR,82.49,light rain,-1.7656,-55.8661,Pousada Tia Amélia
100,Comrie,GB,45.19,broken clouds,56.3791,-3.9949,Fordie Lodge
101,Pisco,PE,74.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
102,Bredasdorp,ZA,74.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
103,Raga,SS,86.94,few clouds,8.4596,25.678,
104,Hilo,US,74.52,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
105,Buala,SB,79.86,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
106,West Bay,KY,84.27,scattered clouds,19.3667,-81.4167,Calypso Cove
108,Sao Filipe,CV,73.71,clear sky,14.8961,-24.4956,Hotel Xaguate
109,Vestmannaeyjar,IS,45.59,moderate rain,63.4427,-20.2734,Glamping & Camping
111,Makakilo City,US,73.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
112,Aloleng,PH,78.08,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
113,Isangel,VU,77.88,scattered clouds,-19.55,169.2667,Tanna Lodge
114,Cidreira,BR,82.11,few clouds,-30.1811,-50.2056,Hotel Castelo
115,Nelson Bay,AU,73.11,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
117,Talara,PE,86.76,clear sky,-4.5772,-81.2719,Hostal Oro Negro
118,Ribeira Grande,PT,63.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
120,Santiago Del Estero,AR,105.89,few clouds,-27.7951,-64.2615,Apartamentos Castelli 90
121,Gachala,CO,73.15,overcast clouds,4.6924,-73.5204,CABAÑAS EL JAZMIN
122,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
123,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
124,Ippy,CF,89.26,broken clouds,6.2679,21.2247,
125,Bengkulu,ID,76.39,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
126,Acajutla,SV,91.74,overcast clouds,13.5928,-89.8275,Laureles
129,Tame,CO,93.25,broken clouds,6.461,-71.73,Hospedaje Santa Ana
130,Bluff,NZ,63.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
133,Victoria,HK,68.38,few clouds,22.2855,114.1577,Mini Hotel Central
134,Pabna,BD,72.45,scattered clouds,24.0,89.25,Hotel Dream Palace International
135,Kindu,CD,71.29,very heavy rain,-2.95,25.95,Résidence Okanda
136,Hofn,IS,42.48,light rain,64.2539,-15.2082,Hótel Höfn
138,Camana,PE,75.92,broken clouds,-16.6228,-72.7111,Hostal Morales
139,Kingman,US,48.9,light rain,35.1894,-114.053,Rodeway Inn Kingman Route 66
140,Mitsamiouli,KM,82.69,few clouds,-11.3847,43.2844,Foyer ADM
142,Nzerekore,GN,85.21,scattered clouds,7.7562,-8.8179,Hotel de la Gare & Germanho Club
143,Naze,JP,56.95,overcast clouds,28.3667,129.4833,Shishime Hotel
